% Column 0: Length, mm
% Column 1: B.n, Tesla
0.00000000e+000	-1.63520788e-001	
1.55086662e-001	-1.63683338e-001	
3.10173323e-001	-1.64966540e-001	
4.65259985e-001	-1.67684504e-001	
6.20346646e-001	-1.70377966e-001	
7.75433308e-001	-1.73067997e-001	
9.30519969e-001	-1.75758028e-001	
1.08560663e+000	-1.80941559e-001	
1.24069329e+000	-1.87414493e-001	
1.39577995e+000	-1.95884003e-001	
1.55086662e+000	-2.03153163e-001	
1.70595328e+000	-2.10070737e-001	
1.86103994e+000	-2.21648020e-001	
2.01612660e+000	-2.30148523e-001	
2.17121326e+000	-2.37095495e-001	
2.32629992e+000	-2.44042467e-001	
2.48138658e+000	-2.50730768e-001	
2.63647325e+000	-2.57006531e-001	
2.79155991e+000	-2.60582654e-001	
2.94664657e+000	-2.63017483e-001	
3.10173323e+000	-2.63866320e-001	
3.25681989e+000	-2.64715156e-001	
3.41190655e+000	-2.65492085e-001	
3.56699322e+000	-2.65825816e-001	
3.72207988e+000	-2.66079061e-001	
3.87716654e+000	-2.66207891e-001	
4.03225320e+000	-2.66375289e-001	
4.18733986e+000	-2.66480283e-001	
4.34242652e+000	-2.66510596e-001	
4.49751319e+000	-2.66504710e-001	
4.65259985e+000	-2.66466938e-001	
4.80768651e+000	-2.66373737e-001	
4.96277317e+000	-2.66236653e-001	
5.11785983e+000	-2.66086521e-001	
5.27294649e+000	-2.65936389e-001	
5.42803315e+000	-2.65592819e-001	
5.58311982e+000	-2.65098799e-001	
5.73820648e+000	-2.64125732e-001	
5.89329314e+000	-2.62976141e-001	
6.04837980e+000	-2.61225018e-001	
6.20346646e+000	-2.59473895e-001	
6.35855312e+000	-2.55826002e-001	
6.51363979e+000	-2.49357518e-001	
6.66872645e+000	-2.42816461e-001	
6.82381311e+000	-2.35448376e-001	
6.97889977e+000	-2.25980425e-001	
7.13398643e+000	-2.15852530e-001	
7.28907309e+000	-2.06109810e-001	
7.44415975e+000	-1.99848763e-001	
7.59924642e+000	-1.93587715e-001	
7.75433308e+000	-1.87880612e-001	
7.90941974e+000	-1.80907049e-001	
8.06450640e+000	-1.75205014e-001	
8.21959306e+000	-1.70926075e-001	
8.37467972e+000	-1.68963596e-001	
8.52976639e+000	-1.67229056e-001	
8.68485305e+000	-1.65494515e-001	
8.83993971e+000	-1.64346219e-001	
8.99502637e+000	-1.63749348e-001	
9.15011303e+000	-1.64498889e-001	
9.30519969e+000	-1.66263121e-001	
9.46028636e+000	-1.68539466e-001	
9.61537302e+000	-1.70815811e-001	
9.77045968e+000	-1.73428743e-001	
9.92554634e+000	-1.76984030e-001	
1.00806330e+001	-1.84416415e-001	
1.02357197e+001	-1.91987678e-001	
1.03908063e+001	-1.99643027e-001	
1.05458930e+001	-2.07298375e-001	
1.07009796e+001	-2.15137196e-001	
1.08560663e+001	-2.23412537e-001	
1.10111530e+001	-2.31687879e-001	
1.11662396e+001	-2.39831687e-001	
1.13213263e+001	-2.47346291e-001	
1.14764130e+001	-2.53936750e-001	
1.16314996e+001	-2.59255374e-001	
1.17865863e+001	-2.60660077e-001	
1.19416729e+001	-2.62064779e-001	
1.20967596e+001	-2.63469482e-001	
1.22518463e+001	-2.64320027e-001	
1.24069329e+001	-2.65127007e-001	
1.25620196e+001	-2.65933987e-001	
1.27171062e+001	-2.66162907e-001	
1.28721929e+001	-2.66162554e-001	
1.30272796e+001	-2.65886030e-001	
1.31823662e+001	-2.65650343e-001	
1.33374529e+001	-2.65366168e-001	
1.34925396e+001	-2.64585330e-001	
1.36476262e+001	-2.63272116e-001	
1.38027129e+001	-2.62083961e-001	
1.39577995e+001	-2.58442673e-001	
1.41128862e+001	-2.53761944e-001	
1.42679729e+001	-2.47743395e-001	
1.44230595e+001	-2.39824899e-001	
1.45781462e+001	-2.30267655e-001	
1.47332328e+001	-2.17707934e-001	
1.48883195e+001	-2.03994174e-001	
1.50434062e+001	-1.90444354e-001	
1.51984928e+001	-1.79230591e-001	
1.53535795e+001	-1.64398998e-001	
1.55086662e+001	-1.46942172e-001	
1.56637528e+001	-1.36649926e-001	
1.58188395e+001	-1.26357680e-001	
1.59739261e+001	-1.16065434e-001	
1.61290128e+001	-1.03065386e-001	
1.62840995e+001	-9.16259228e-002	
1.64391861e+001	-8.29687853e-002	
1.65942728e+001	-7.53958452e-002	
1.67493594e+001	-6.80769689e-002	
1.69044461e+001	-6.08078442e-002	
1.70595328e+001	-5.51916470e-002	
1.72146194e+001	-5.02908970e-002	
1.73697061e+001	-4.53901470e-002	
1.75247928e+001	-3.94973596e-002	
1.76798794e+001	-3.41031037e-002	
1.78349661e+001	-3.02727964e-002	
1.79900527e+001	-2.65995222e-002	
1.81451394e+001	-2.31165695e-002	
1.83002261e+001	-1.88364789e-002	
1.84553127e+001	-1.49778237e-002	
1.86103994e+001	-1.21775347e-002	
1.87654860e+001	-9.37724579e-003	
1.89205727e+001	-6.69390099e-003	
1.90756594e+001	-4.46058678e-003	
1.92307460e+001	-2.22727258e-003	
1.93858327e+001	3.28436758e-004	
1.95409194e+001	8.75289463e-004	
1.96960060e+001	1.42214217e-003	
1.98510927e+001	1.96899487e-003	
2.00061793e+001	1.75205078e-003	
2.01612660e+001	1.42870710e-003	
2.03163527e+001	9.92491640e-004	
2.04714393e+001	6.96884903e-004	
2.06265260e+001	5.04797799e-004	
2.07816126e+001	5.12645826e-004	
2.09366993e+001	2.94017876e-004	
2.10917860e+001	3.22292123e-005	
2.12468726e+001	3.20031865e-005	
2.14019593e+001	5.45540055e-005	
2.15570460e+001	2.70839781e-005	
2.17121326e+001	1.17023021e-005	
2.18672193e+001	-6.26442958e-006	
2.20223059e+001	-2.71624681e-005	
2.21773926e+001	-4.80605066e-005	
2.23324793e+001	-6.00389597e-005	
2.24875659e+001	-5.51480155e-005	
2.26426526e+001	-5.02570712e-005	
2.27977392e+001	-4.70826247e-005	
2.29528259e+001	-4.98930020e-005	
2.31079126e+001	-4.93681551e-005	
2.32629992e+001	-4.50222398e-005	
2.34180859e+001	-4.33794210e-005	
2.35731726e+001	-4.17366022e-005	
2.37282592e+001	-4.00937834e-005	
2.38833459e+001	-3.97031138e-005	
2.40384325e+001	-3.89497429e-005	
2.41935192e+001	-3.76451355e-005	
2.43486059e+001	-3.63764316e-005	
2.45036925e+001	-3.55339807e-005	
2.46587792e+001	-3.57066739e-005	
2.48138658e+001	-3.64025421e-005	
2.49689525e+001	-3.72907065e-005	
2.51240392e+001	-3.81788710e-005	
2.52791258e+001	-3.94197941e-005	
2.54342125e+001	-4.18670871e-005	
2.55892992e+001	-4.45920630e-005	
2.57443858e+001	-4.73170360e-005	
2.58994725e+001	-5.00420145e-005	
2.60545591e+001	-5.27669929e-005	
2.62096458e+001	-5.58283737e-005	
2.63647325e+001	-5.94813609e-005	
2.65198191e+001	-6.26717542e-005	
2.66749058e+001	-6.55684571e-005	
2.68299924e+001	-6.78976487e-005	
2.69850791e+001	-6.80068652e-005	
2.71401658e+001	-6.56603133e-005	
2.72952524e+001	-6.44493720e-005	
2.74503391e+001	-6.24464197e-005	
2.76054258e+001	-5.98089483e-005	
2.77605124e+001	-5.78841523e-005	
2.79155991e+001	-5.61262704e-005	
2.80706857e+001	-5.45816886e-005	
2.82257724e+001	-5.35343531e-005	
2.83808591e+001	-5.25601933e-005	
2.85359457e+001	-5.15847321e-005	
2.86910324e+001	-5.07548753e-005	
2.88461190e+001	-4.98670735e-005	
2.90012057e+001	-4.85123488e-005	
2.91562924e+001	-4.59636012e-005	
2.93113790e+001	-4.46079840e-005	
2.94664657e+001	-3.86373705e-005	
2.96215524e+001	-3.31100102e-005	
2.97766390e+001	-2.80222244e-005	
2.99317257e+001	-2.24079488e-005	
3.00868123e+001	-1.66436294e-005	
3.02418990e+001	-1.06880792e-005	
3.03969857e+001	-4.35970776e-006	
3.05520723e+001	1.58241722e-006	
3.07071590e+001	6.16217124e-006	
3.08622457e+001	1.07419253e-005	
3.10173323e+001	1.58700971e-005	
3.11724190e+001	2.07006269e-005	
3.13275056e+001	2.38799573e-005	
3.14825923e+001	2.58164346e-005	
3.16376790e+001	2.71155172e-005	
3.17927656e+001	2.80503485e-005	
3.19478523e+001	2.85381057e-005	
3.21029389e+001	2.94155318e-005	
3.22580256e+001	3.01734739e-005	
3.24131123e+001	3.05823285e-005	
3.25681989e+001	3.08124303e-005	
3.27232856e+001	3.09316904e-005	
3.28783723e+001	3.08320247e-005	
3.30334589e+001	3.06585565e-005	
3.31885456e+001	3.00846318e-005	
3.33436322e+001	2.95107070e-005	
3.34987189e+001	2.81488892e-005	
3.36538056e+001	2.60561310e-005	
3.38088922e+001	2.32048070e-005	
3.39639789e+001	2.04560884e-005	
3.41190655e+001	1.79156461e-005	
3.42741522e+001	1.47057056e-005	
3.44292389e+001	1.14714578e-005	
3.45843255e+001	8.52650010e-006	
3.47394122e+001	5.89713937e-006	
3.48944989e+001	3.81544583e-006	
3.50495855e+001	8.18727337e-007	
3.52046722e+001	-2.19163132e-006	
3.53597588e+001	-5.19628490e-006	
3.55148455e+001	-7.65333689e-006	
3.56699322e+001	-1.05400543e-005	
3.58250188e+001	-1.39198862e-005	
3.59801055e+001	-1.67082367e-005	
3.61351921e+001	-1.96087996e-005	
3.62902788e+001	-2.28448114e-005	
3.64453655e+001	-2.61766346e-005	
3.66004521e+001	-2.95672375e-005	
3.67555388e+001	-3.30712960e-005	
3.69106255e+001	-3.64649437e-005	
3.70657121e+001	-4.06473690e-005	
3.72207988e+001	-4.46460182e-005	
3.73758854e+001	-4.93036845e-005	
3.75309721e+001	-5.45331741e-005	
3.76860588e+001	-5.87625439e-005	
3.78411454e+001	-6.24541529e-005	
3.79962321e+001	-6.54179459e-005	
3.81513187e+001	-6.72954720e-005	
3.83064054e+001	-6.83219175e-005	
3.84614921e+001	-6.77268947e-005	
3.86165787e+001	-6.55725696e-005	
3.87716654e+001	-6.20441314e-005	
3.89267521e+001	-5.81424545e-005	
3.90818387e+001	-5.30094920e-005	
3.92369254e+001	-4.70622543e-005	
3.93920120e+001	-4.08728082e-005	
3.95470987e+001	-3.52657344e-005	
3.97021854e+001	-3.02837996e-005	
3.98572720e+001	-2.51797122e-005	
4.00123587e+001	-2.00471829e-005	
4.01674453e+001	-1.48826784e-005	
4.03225320e+001	-9.41065380e-006	
